company_name,segment,city,state,website,notes
Seaside Retreats & Events,Boutique Hotel,San Diego,CA,,Waterfront venue; corporate retreats; <200 rooms
Metro Convention & Expo Center,Convention Center,Chicago,IL,,Downtown location; annual tech expos; flexible ballroom spaces
Cactus Dunes Resort,Resort,Scottsdale,AZ,,Golf packages; incentive trips; spa & wellness
Pine Valley Lodges,Lodge,Denver,CO,,Team-building outdoors; offsites; <120 rooms
Atlantic Horizon Hotels,Hotel Chain (Upper Midscale),Boston,MA,,Multiple meeting rooms; corporate accounts
Golden Gate Corporate Events,Event Planner/Agency,San Francisco,CA,,B2B events; conference production; vendor network
Lone Star Meetings Co.,Event Planner/Agency,Austin,TX,,Tech clients; offsite experiences; music partnerships
Blue Ridge Conference Center,Conference Center,Charlotte,NC,,Regional conferences; parking; close to airport
Bayfront Incentives,Incentives Agency,Tampa,FL,,Incentive travel; corporate rewards; cruise partners
Liberty Harbor Hotels,Hotel Chain (Upscale),New York,NY,,Meeting spaces in Manhattan & Brooklyn
